cause	effect	linear	quad
AAC3	ADH5	8.83903860535e-4	0
AAC3	CTR1	-1.09539397293e-4	0
AAC3	INA1	4.99843154606e-4	0
AAC3	LAC1	4.71243414895e-6	0
AAC3	SCW11	-9.71786435796e-5	0
AAC3	TIP1	1.61696468884e-5	0
AAD4	OYE3	0.00308288343053	0
AAH1	ADH2	2.71287407408e-4	0
AAH1	ALB1	0	-4.30499727238e-4
AAH1	ANB1	0.00640998986276	0
AAH1	ARG1	-7.15246477779e-5	0
AAH1	ARG4	-8.12071623667e-5	-3.64366511908e-7
AAH1	ARX1	0	-2.39642271659e-4
AAH1	BAS1	0	-9.14150566811e-5
AAH1	BFR2	0	-3.73606442829e-4
AAH1	BRX1	0	-4.80401016036e-4
AAH1	BUD20	0	-5.51605861664e-4
AAH1	BUD22	0	-3.44122068628e-4
AAH1	CIC1	0	-4.80251837071e-4
AAH1	CIT1	2.81364706392e-5	0
AAH1	COS111	0	-2.05029763142e-4
AAH1	CTR1	1.29285996165e-4	0
AAH1	DBF2	1.0197762227e-4	0
AAH1	DBP2	0	-1.75404009823e-4
AAH1	DBP7	0	-3.56459389895e-4
AAH1	DBP8	0	-2.51770688424e-4
AAH1	DBP9	0	-4.44101013838e-4
AAH1	DIP2	0	-1.52902718604e-4
AAH1	DOM34	0	-8.79642349074e-5
AAH1	DRS1	0	-2.50924473967e-4
AAH1	DSD1	9.48618625572e-5	0
AAH1	EBP2	0	-5.31703446857e-4
AAH1	ECM1	0	-1.52506751929e-4
AAH1	EFG1	0	-6.49694061184e-4
AAH1	ELO3	0	-9.07040824315e-5
AAH1	ELP2	0	-1.21722032051e-4
AAH1	FAL1	0	-1.38280938934e-4
AAH1	FLO5	9.02575035541e-5	0
AAH1	FRS1	0	-1.06978909237e-4
AAH1	FUR4	0	-3.14525461287e-5
AAH1	GAR1	0	-1.32532631382e-4
AAH1	GCD10	0	-2.48956663899e-4
AAH1	GCD11	0	-1.30583211796e-4
AAH1	GIR2	0	-3.69310951977e-4
AAH1	GIS2	0	-1.28966764574e-4
AAH1	GOR1	0	-1.98051069953e-5
AAH1	HAS1	0	-6.6128624122e-5
AAH1	HCA4	0	-2.3287540751e-5
AAH1	HIS3	5.03836003503e-4	0
AAH1	HMT1	0	-4.87274932984e-4
AAH1	HXK1	1.02200628665e-4	0
AAH1	HXT4	0.00142089537698	0
AAH1	IMP3	0	-3.64817213538e-4
AAH1	IMP4	0	-3.05246863508e-4
AAH1	INA1	0.00452747261386	0
AAH1	INO1	-8.54823868538e-5	0
AAH1	IPI3	0	-1.94433798032e-4
AAH1	KNH1	-2.56715616124e-5	0
AAH1	KRI1	0	-1.82430935378e-4
AAH1	KRR1	0	-8.17226171313e-5
AAH1	LCP5	0	-5.230383909e-4
AAH1	LHP1	0	-2.77035895336e-4
AAH1	LTV1	0	-1.67808098469e-4
AAH1	LYS2	-1.68109135573e-4	0
AAH1	MAK11	0	-1.03101667659e-4
AAH1	MAK16	0	-3.94036849919e-4
AAH1	MAK21	0	-1.57646514282e-4
AAH1	MES1	0	-1.60897406632e-4
AAH1	MET3	3.06799972807e-4	0
AAH1	MPP6	0	-5.32658600092e-5
AAH1	MRD1	0	-5.23540110131e-4
AAH1	MRS6	0	-2.57143916058e-4
AAH1	MRT4	0	-8.5185281488e-4
AAH1	MUP3	2.18625863044e-4	0
AAH1	NCE103	1.0492945253e-5	0
AAH1	NHP2	0	-5.40227969905e-4
AAH1	NMD3	0	-3.5693083711e-4
AAH1	NOC2	0	-3.26960393435e-4
AAH1	NOG1	0	-1.93844460392e-4
AAH1	NOG2	0	-3.6858884443e-4
AAH1	NOP1	0	-6.98288489311e-5
AAH1	NOP14	0	-2.53880103275e-4
AAH1	NOP2	0	-1.21541267392e-4
AAH1	NOP56	0	-9.92717059849e-5
AAH1	NOP58	0	-2.05734463793e-4
AAH1	NOP6	0	-1.84950367399e-4
AAH1	NOP8	0	-3.28476620011e-4
AAH1	NRK1	5.55616574121e-6	0
AAH1	NRP1	0	-5.50089400289e-4
AAH1	NSA2	0	-4.33004298715e-4
AAH1	NSR1	0	-4.40755854913e-5
AAH1	OYE3	-4.53418638243e-5	0
AAH1	PDC6	8.09741646707e-4	0
AAH1	PEX11	-1.08250237803e-4	0
AAH1	PKC1	2.55283259481e-4	0
AAH1	PRT1	0	-1.03763160468e-4
AAH1	PUF6	0	-2.56560777963e-4
AAH1	PUS7	0	-1.28274967976e-4
AAH1	PUT1	-2.76228465728e-5	0
AAH1	PXR1	0	-2.44214973002e-4
AAH1	RBG1	0	-8.87998676945e-5
AAH1	RCL1	0	-6.87015325024e-4
AAH1	REE1	-9.02878606878e-5	0
AAH1	REI1	0	-4.4591887513e-4
AAH1	RET1	0	-3.76793150881e-5
AAH1	RFU1	0	-4.92158329165e-4
AAH1	RIX1	0	-2.2072377297e-4
